id_obra,contratada,data_fim_previsto,data_inicio,descricao,municipio,percentual_executado,status,valor,
5759,CONSTRUTORA TERRA,"Sun, 17 Jan 2010","Thu, 23 Apr 2009","CONSTRUÇÃO DA EDEFM NARCISO FERREIRA DE MATOS (ESCOLA INDÍGENA 02 SALAS DE AULA TIPO ""ESCOLA RURAL"") EM CAUCAIA - LOTE XIII",CAUCAIA,100.00,Concluída,288535.87,
5760,CONSTRUTORA TERRA,"Sun, 17 Jan 2010","Thu, 23 Apr 2009","CONSTRUÇÃO DA EDEFM NARCISO FERREIRA DE MATOS (ESCOLA INDÍGENA 02 SALAS DE AULA TIPO ""ESCOLA RURAL"") EM CAUCAIA - LOTE XIII",CAUCAIA,100.00,Concluída,143414.85,
7528,RADIER ENGENHARIA LTDA,"Mon, 09 Oct 2017","Thu, 01 Dec 2016",CONCLUSÃO DA CONSTRUÇÃO DE QUADRAS COBERTA COM VESTIÁRIO PADRÃO FNDE DO LICEU DE MESSEJANA EM FORTALEZA - CE,FORTALEZA,84.94,Em Execução,103409.49,
7377,TECNOS,"Sat, 08 Oct 2016","Mon, 11 Apr 2016","OBRA DE CONSTRUÇÃO DO CENTRO DE EDUCAÇÃO INFANTIL-CEI, NO MUNICÍPIO DE IBIAPINA/CE",IBIAPINA,0.00,Cancelada,1107724.76,
6194,FIEZA PROJETOS,"Fri, 19 Jun 2009","Mon, 22 Dec 2008","CONSTRUÇÃO DE UMA DELEGACIA DE POLÍCIA CIVIL - PADRÃO II, COM NOVA MACHADA, EM AMONTADA",AMONTADA,0.63,Em Execução,524286.57,
7369,CYTHYAGO,"Thu, 02 Nov 2017","Mon, 23 Nov 2015","CONSTRUÇÃO DO CENTRO DE EDUCAÇÃO INFANTIL-CEI, NO MUNICÍPIO DE ITATIRA/CE",ITATIRA,0.00,Em Execução,1087754.15,
7329,N2,"Sat, 20 May 2017","Tue, 29 Sep 2015",OBRA DE CONSTRUÇÃO DA REGIONAL DO DETRAN NO EXTREMO NORTE DO ESTADO (CAMOCIM-CE),CAMOCIM,100.00,Concluída,2189286.56,
6324,UNIAO EMPREENDIMENTOS E CONSTRUCAO LTDA.,"Fri, 12 Apr 2013","Mon, 19 Dec 2011",CONSTRUÇÃO DE UM ALOJAMENTO NO POSTO FISCAL DO MUNICIPIO DE PARAMBU-CE.,PARAMBU,70.74,Cancelada,242469.75,
6646,ZONA NORTE,"Wed, 11 Mar 2015","Tue, 15 Jan 2013",CONSTRUÇÃO DA ÁREA DE EXAME NO POSTO DO DETRAN-CE NOS MUNICIPIOS DE TAUÁ,TAUÁ,100.00,Concluída,1762860.68,
6332,FERRAZ ENGENHARIA,"Sat, 25 Aug 2012","Fri, 23 Dec 2011",CONSTRUÇÃO DE TÓTENS PARA SINALIZAÇÃO DOS GEOSÍTIOS DA FUNDAÇÃO UNIVERSIDADE REGIONAL DO CARIRI - URCA LOTE 03,NOVA OLINDA,100.00,Concluída,57695.05,
7113,SPATE,"Thu, 10 Dec 2015","Mon, 18 Aug 2014",AMPLIAÇÃO DA REDE DE DISTRIBUIÇÃO DE MÉDIA TENSÃO DE 13.8KV E DA REDE DE FIBRA ÓPTICA DO CAMPUS DO PICI DA UFC - FORTALEZA - CE,FORTALEZA,100.00,Concluída,555888.84,
5884,CONSTRUTORA ADLE,"Sat, 28 Aug 2010","Fri, 18 Dec 2009","REFORMA DE 09 ESCOLAS DA REDE FISÍCA ESTADUAL,EM DIVERSOS MUNICIPIOS DO ESTADO DO CEARÁ",FORTALEZA,96.39,Concluída,113060.04,
5765,BORGES & LIMA CONSTRUÇÕES,"Fri, 08 Apr 2011","Tue, 05 May 2009","CONSTRUÇÃO DA EDEFM DE QUEIMADAS ESCOLA INDÍGENA COM 02 SALAS DE AULA TIPO ""ESCOLA RURAL"" - LOTE XVI",ACARAÚ,100.00,Concluída,237160.49,
6697,KG CONSTRUÇÕES,"Sun, 24 Aug 2014","Thu, 28 Feb 2013","CONSTRUÇÃO DA QUADRA COBERTA COM VESTIARIOS NA EEFM ABRAÃO BAQUIT, NO MUNICÍPIO DE QUIXADA - CE",QUIXADÁ,100.00,Concluída,130574.39,
7065,CETRO,"Sat, 28 Apr 2018","Tue, 01 Jul 2014",CONSTRUÇÃO DA AREA DE EXAMES DO DETRAN DE QUIXADA - CE LOTE II,QUIXADÁ,100.00,Em Execução,2081107.17,
7146,MPI,"Sun, 14 Feb 2016","Thu, 11 Sep 2014","CONCLUSÃO E OBRAS COMPLEMENTARES DO QUARTEL DO CORPO DE BOMBEIROS, NO CAMBEBA, EM FORTALEZA - CE",FORTALEZA,96.70,Em Execução,477228.43,
